,Datetime,Tweet Id,Text,Username,Month
27,2020-11-23 23:08:21+00:00,1331011737324318721,"I hope someone else runs Cruz’s Twitter account because it’d be pretty embarrassing if a US Senator didn’t know this.

Almost as embarrassing as when Sen. @JohnCornyn didn’t appear to know that Puerto Ricans don’t get to vote in the Presidential",AOC,11
28,2020-11-23 22:28:22+00:00,1331001675545456640,"The House doesn’t have filibusters, @tedcruz.

We also passed several COVID relief packages to the Senate that not only include &gt;$500 billion, but also prioritize helping real people as opposed to Wall St bailouts the GOP tries to pass off as “relief.”

Nice try though 👍🏽 https://t.co/X4YIdiXh5y",AOC,11
29,2020-11-23 21:59:27+00:00,1330994397585006594,"It is also a truly embarrassing indictment of what’s considered “center” politics in the US that objecting to the appointment of an official who helped cover up the murder of a Black child is deemed the “progressive, far left” position. https://t.co/h94LjF6bHB",AOC,11
30,2020-11-23 21:47:14+00:00,1330991322526867459,https://t.co/IakNipWzsj,AOC,11
31,2020-11-23 21:46:43+00:00,1330991191119294465,"What is so hard to understand about this?

Rahm Emanuel helped cover up the murder of Laquan McDonald. Covering up a murder is disqualifying for public leadership.

This is not about the “visibility” of a post. It is shameful and concerning that he is even being considered. https://t.co/P28C0E4fYP",AOC,11
32,2020-11-23 20:58:49+00:00,1330979139076108289,"I know it’s hard, but please consider your loved ones. Stay home if you can.

A negative COVID test does not clear one for safe travel. You can be asymptomatic &amp; test positive shortly after. You can get it en route.

Don’t spread COVID to parents, loved ones, workers. Stay in!🏡 https://t.co/PPcUR6wtEb",AOC,11
33,2020-11-23 20:17:41+00:00,1330968785659064325,"People across the country are going hungry, COVID is set to explode, and Mitch McConnell dismissed the Senate last week.

I don’t know how these people can sleep at night. I really don’t.",AOC,11
34,2020-11-21 19:12:07+00:00,1330227510358007810,"Does anyone believe Rittenhouse would be released if he were Muslim &amp; did the same thing in a diff context? For people who say “systemic racism doesn’t exist,” this is what it looks like: protection of white supremacy baked deep into our carceral systems.

Law and disorder.",AOC,11
35,2020-11-21 18:55:05+00:00,1330223224047726594,"People who argue that dramatic changes to policing, including budgetary ones, will mean “violent people will be let out of jail to roam free” rarely ever acknowledge that’s actually the current system we have today for the privileged https://t.co/MXnm6h3PdZ",AOC,11
36,2020-11-21 03:33:10+00:00,1329991217304702977,@AshleyRvin @USSenate 💙 We’ll keep fighting for you,AOC,11
37,2020-11-21 02:59:10+00:00,1329982658869403652,@michaelo @TwitterSupport Thank you! 🐣,AOC,11
38,2020-11-21 02:34:13+00:00,1329976379484610561,"My DMs finally got fixed! (I think!!)

Sorry to anyone who has DMd me since late August 😬 thank you @TwitterSupport 🙏🏽",AOC,11
39,2020-11-19 23:59:57+00:00,1329575168876965894,"I have time today because I am sick &amp; tired of seeing powerful people with both hands deep in the cookie jar turn around and tell people there’s nothing in there for them or our country’s future.

It’s rank hypocrisy and corruption. Incompetence at best. We shouldn’t tolerate it.",AOC,11
40,2020-11-19 23:29:36+00:00,1329567533138055168,https://t.co/J0a0DP16Sw,AOC,11
41,2020-11-19 23:29:26+00:00,1329567488829513730,".@KLoeffler disclosures show you seem to have gifted yourself private jet on public dime &amp; exploited corrupt tax loopholes to do it.

If you’re happy helping yourself to public funds, maybe take a seat before arguing against stimulus checks to help everyday people in a pandemic. https://t.co/ZlhL2DjzpB",AOC,11
42,2020-11-19 23:09:09+00:00,1329562386576138241,"Utterly embarrassing that this woman was a governor &amp; still doesn’t have a grasp on public investment. Wonder if she says federal financing works like a piggy bank or household too?

All this faux-seriousness from folks who worship Trump for running the country like his casino 🙄",AOC,11
43,2020-11-19 22:42:31+00:00,1329555684980121602,"Nikki, I’m suggesting Republicans find the spine to stand up to their corporate donors &amp; vote for the same measures they did in March, except without the Wall St bailout this time.

And I know you’re confused abt actual governance but police budgets are municipal, not federal. https://t.co/GCyUagbruG",AOC,11
44,2020-11-19 22:20:20+00:00,1329550099379269637,⬇️⬇️ https://t.co/P6eC4yYLjU,AOC,11
45,2020-11-19 22:15:25+00:00,1329548864869855236,"“Taking out Wayne County” includes “taking out” the entire city of Detroit, AKA the #1 city in the US when it comes to African American population by percentage.",AOC,11
46,2020-11-19 22:09:35+00:00,1329547394132938759,Translation of the Republican Party stance: “We can undermine the election by stripping Black Americans of their civil rights.” https://t.co/mpMM0AjBUF,AOC,11
47,2020-11-19 21:54:40+00:00,1329543640297971724,Funny how you didn’t hear Republicans complain about “spending other people’s money” or ask “how are we going to pay for it?!” when they insisted on creating a $4 trillion leveraged slush fund for their Wall Street buddies in March. 🤔,AOC,11
48,2020-11-19 21:46:53+00:00,1329541684598812674,"Republicans are mad at this when they literally just voted to do just this in March.

The reason they’re opposed to it now is because last time they got a Wall Street bailout and this time all that’s left is helping working people, the disabled, the poor, etc.",AOC,11
49,2020-11-19 21:08:40+00:00,1329532064354471941,"Strange that you now oppose checks to help people survive shutdowns, Chip.

You voted YES for the CARES Act in March, which paid folks to help weather the impact of COVID shutdowns.

What changed for you to oppose stimulus now? The fact that there’s no Wall St bailout anymore? https://t.co/ZxuzMk4kH3",AOC,11
50,2020-11-19 17:29:02+00:00,1329476792571351047,"To get the virus under control, we need to pay people to stay home.",AOC,11
51,2020-11-19 02:39:44+00:00,1329252993733185539,"30 million people in this country are at risk of eviction.

Millions of people are unemployed or underemployed from cut-back hours.

The economy is not the stock market. We are NOT doing fine. People need help in red states and blue, &amp; our job is to help everyone. This is basic. https://t.co/M9NwZPGp2p",AOC,11
52,2020-11-19 02:06:44+00:00,1329244689615233028,@vailkoyo ☺️ tell her I say thank you!,AOC,11
53,2020-11-18 21:54:23+00:00,1329181181217304579,"@MoveOn And a very brave one. @MoveOn and @DFAaction were some of the only organizations who stood up to intense political pressure from the party to endorse me in my first run. And this is proof!

I’ll never forget it. You all are REAL ONES.☝🏽 Thank you.",AOC,11
54,2020-11-18 18:45:40+00:00,1329133688676884486,"Does that year end plan include stimulus checks and UI extension?

Or did Meadows &amp; McConnell forget the part where millions of people desperately need help right now? https://t.co/oTfuosE3PU",AOC,11
55,2020-11-18 18:39:49+00:00,1329132215901556737,"If you say “socialism” three times in a mirror, a corporate lobbyist-backed candidate grows their wings 👼",AOC,11
56,2020-11-17 17:17:28+00:00,1328749105678528513,@michaelo Thank you!,AOC,11
57,2020-11-17 17:13:28+00:00,1328748097602777088,Can we put the bar of circles at the bottom at least? (I’m at the bargaining phase of this clearly),AOC,11
58,2020-11-17 17:11:12+00:00,1328747530885206016,@MichelleHux 🤣,AOC,11
59,2020-11-17 17:09:40+00:00,1328747143230787586,"Does the fleets thing stress anyone else out? Like I use Twitter to get away from IG stories, not have it follow me around on every platform reminding me that I don’t have makeup on",AOC,11
60,2020-11-17 17:07:38+00:00,1328746633442562056,Sorry to do it like this but... I can’t DM ya,AOC,11
61,2020-11-17 17:06:55+00:00,1328746450789031936,My DMs haven’t worked in 3 months 😐 @TwitterSupport pls help,AOC,11
62,2020-11-16 23:29:03+00:00,1328480231993249796,"“Things were bad for me, so they should stay bad for everyone else” is not a good argument against debt cancellation - student, medical, or otherwise. #CancelStudentDebt",AOC,11
63,2020-11-16 18:48:43+00:00,1328409682608869388,"When #BlackLivesMatter  first emerged as an activist call, many pundits called it a divisive movement that required “too much explanation.”

It was widely considered “too controversial” to say for YEARS.

It’s wild how quickly people willingly forget that. It just happened.",AOC,11
64,2020-11-16 18:14:49+00:00,1328401150186565636,"We should also push for tuition-free public colleges to avoid this huge debt bubble from financially decimating ppl every generation. It’s one of the easiest progressive policies to “pay for,” w/ multiple avenues from a Wall St transaction tax to an ultra-wealth tax to cover it.",AOC,11
65,2020-11-16 18:01:36+00:00,1328397822912237568,"Student loan forgiveness is good, actually",AOC,11
66,2020-11-14 20:18:41+00:00,1327707545440579612,@chimeracoder I was driving down to DC that day and had to pick something up before leaving (I switched to an EV for my DC commute due to COVID and safety reasons. Volume of threats grew tremendously before the election).,AOC,11
67,2020-11-14 01:10:01+00:00,1327418477318168582,Can we please get people stimulus checks and mortgage relief and rent forgiveness and small business support and free testing and hazard pay and healthcare for the uninsured (&amp; underinsured) in the middle of a pandemic or is that too socialist too?,AOC,11
68,2020-11-13 23:55:24+00:00,1327399696428621832,@MattCaseyNYC No worries here - I’m in the Bronx tonight eating takeout 🥡 thanks for looking out!,AOC,11
69,2020-11-13 18:52:55+00:00,1327323577306271744,@matthewstoller It’s also false - I’m a top performer in having my amendments made in order. https://t.co/oQvFrTDuXZ,AOC,11
70,2020-11-13 16:54:22+00:00,1327293739941974016,Unbelievable. GOP doesn’t even care for the lives of the people protecting theirs. https://t.co/5OFFrKiZOC,AOC,11
71,2020-11-13 01:33:08+00:00,1327061905677185025,Sounds familiar https://t.co/3xau2iu2CB,AOC,11
72,2020-11-13 01:18:10+00:00,1327058138068115456,This is what can happen when we work together on a strong relational organizing &amp; digital strategy ⬇️ https://t.co/OKoXcdj6ZU,AOC,11
73,2020-11-13 01:13:29+00:00,1327056962043965440,"Time to get creative, folks! https://t.co/EyCvDNzpWv",AOC,11
74,2020-11-12 21:35:42+00:00,1327002153148440577,Congratulations @LaurenUnderwood! 🎉 https://t.co/BbxDAxXaGM,AOC,11
75,2020-11-12 20:23:23+00:00,1326983952960266243,It’s only “controversial” coming from one of us though 🤷🏽‍♀️ https://t.co/YlzxOWSgl6,AOC,11
76,2020-11-12 20:21:07+00:00,1326983384418168833,".@MaxRose4NY has been a great colleague &amp; friend, despite all our differences.

He was relentlessly attacked for attending a community event after the murder of George Floyd.

Max used his election night speech to bravely declare why it was the right thing to do.

Watch it ⬇️ https://t.co/LhWvBxv9lf",AOC,11
77,2020-11-12 20:03:07+00:00,1326978851960999940,"@alexnazaryan @Cliff_Michel No - we think it’s wrong that our backend strategy (grassroots, relational organizing plus sophisticated digital) was ignored, not that they should have adopted our messaging.",AOC,11
78,2020-11-12 19:58:41+00:00,1326977738654298114,⬇️⬇️⬇️ https://t.co/AmJMR0Sk6x,AOC,11
79,2020-11-12 17:28:55+00:00,1326940048915312642,@braunold She looks amazing! 10/10,AOC,11
80,2020-11-12 17:17:51+00:00,1326937264056913921,"Update: Holy cow - we surged to $280k for the GA grassroots last night!

That’s some #EmbraceTheBase ENERGY right there. Keep going! ⬇️ https://t.co/CZV8uDPZRV",AOC,11
81,2020-11-12 04:13:35+00:00,1326739894950096896,@IlhanMN By unanimous vote 🚫,AOC,11
82,2020-11-12 02:47:01+00:00,1326718111840677891,@PersistOhio 👋🏽,AOC,11
83,2020-11-12 02:45:20+00:00,1326717688748630017,It’s time to #EmbraceTheBase in Georgia: https://t.co/w1F2d7pUFV,AOC,11
84,2020-11-12 02:17:20+00:00,1326710641130921984,"Georgia isn’t a red state. It’s a voter-suppressed state.

Last night #TeamAOC mobilized to raise $100k *directly* to grassroots orgs @fairfightaction, @NewGAProject,&amp; more.

Time to charge forward &amp; support the folks leading the way.

Let’s kick it up: https://t.co/w1F2d7pUFV https://t.co/bqWA8p84xj",AOC,11
85,2020-11-12 01:49:58+00:00,1326703751701389312,Good news and an encouraging choice 👍🏽 https://t.co/vLd9kaJ8qX,AOC,11
86,2020-11-11 23:30:12+00:00,1326668578674921472,@AyannaPressley @SignalBoostShow @ZerlinaMaxwell @jess_mc 💞,AOC,11
87,2020-11-11 23:28:34+00:00,1326668169466032128,"“Unity at the expense of my equality and safety is not an option.”

- Rep. @AyannaPressley https://t.co/0i6y1DRJmf",AOC,11
88,2020-11-11 22:53:46+00:00,1326659410710630401,@davidscottjaffe 💞 please give your daughter my thanks. Stories like hers create the inspiration and energy to keep going. Thank you for sharing with me!,AOC,11
89,2020-11-11 22:38:24+00:00,1326655542421499904,@JaredHuffman Thank you Jared!,AOC,11
90,2020-11-11 20:18:33+00:00,1326620351502094337,"The idea that politicians can control activist messaging doesn’t make sense. They don’t work for us.

Our job is to listen and develop our message, own it, win,&amp; lead. Civil rights movement didn’t poll well at the time either. MLK was disliked. Does that mean he wasn’t effective?",AOC,11
91,2020-11-11 20:15:01+00:00,1326619458773848066,"This was a call from communities that unfolded in real-time. Activists don’t focus group. BLM is not the DNC. It’s a pols’ job to own their message.

Btw, it was effective-NYC is shifting to mental health workers at some 911 calls &amp; policies changed faster than an election cycle. https://t.co/Bz6MQEwRiV",AOC,11
92,2020-11-11 18:18:45+00:00,1326590199837708290,"Let’s gooo!

We are so proud of you and rooting for you, @KhaleelAnderson.

Congratulations 🎉 https://t.co/sR2DMf56f0",AOC,11
93,2020-11-11 18:13:28+00:00,1326588871249899522,We don’t have to choose between these things! We can do better and win!,AOC,11
94,2020-11-11 18:12:06+00:00,1326588528868855823,"Pretty astounding that some Dems don’t believe it’s possible to govern, be politically popular, and command formidable bully pulpits at the same time, but it actually explains a lot about how we got here. https://t.co/mP2tXgr40I",AOC,11
95,2020-11-11 14:41:56+00:00,1326535639450476544,"Thank you to each and every one of our veterans for your sacrifice and service.

Words are never enough on #VeteransDay or any day. The best way we can show gratitude is with our actions. https://t.co/iYoTjIjJb2",AOC,11
96,2020-11-11 03:50:42+00:00,1326371750179954690,@housingworks 💞,AOC,11
97,2020-11-11 03:26:04+00:00,1326365548268097536,@alexstran @CoriBush Oh cool! I’ll have to check this out,AOC,11
98,2020-11-11 03:16:09+00:00,1326363056063057920,@CoriBush @AyannaPressley We’ll do a shopping day together. I got you!!,AOC,11
99,2020-11-11 03:10:50+00:00,1326361714640744451,"You can also thrift and buy second hand online, which helped me get higher quality, longer-lasting things that would normally be out of budget. Good luck!!",AOC,11
100,2020-11-11 03:08:30+00:00,1326361127605981184,"Thrifting, renting, and patience as you get your closet together sis. Capsule wardrobe will be your best friend. @AyannaPressley has the accessory game down

Good news is that all these practices are very sustainable and good for the planet! 😉 https://t.co/X4Cyy8HOwF",AOC,11
101,2020-11-11 01:29:56+00:00,1326336323247071236,I hope people realize that the same Republicans who are refusing to acknowledge the results of our elections also champion disastrous foreign policy claiming they’re “bringing democracy” to other nations.,AOC,11
102,2020-11-11 00:52:20+00:00,1326326863497752578,https://t.co/lCGuSsIhej,AOC,11
103,2020-11-11 00:47:59+00:00,1326325767177900033,https://t.co/iRIBRoqdD7,AOC,11
104,2020-11-11 00:44:54+00:00,1326324992263548937,#EmbraceTheBase https://t.co/hIPyDHX56p,AOC,11
105,2020-11-10 21:59:33+00:00,1326283380040798208,@liamkerr @justicedems @BrandNew535 False. Try checking your facts next time! Mail ins haven’t been counted in NY yet.,AOC,11
106,2020-11-10 20:48:50+00:00,1326265584384942080,"Alas, I’m just a first term Congresswoman, standing in front of a government, asking it to love working people",AOC,11
